FDC_ID,Calories,Fat,Cholesterol,Sodium,Carb,Fiber,Sugar,Protein,Potassium,Iron,Calcium,Vitamin_A,Vitamin_B6,Vitamin_B12,Vitamin_C,Vitamin_D,Vitamin_E
323510,-1,-1,111.0,-1,-1,-1,-1,116.0,1.82,54.0,-1,-1,-1,-1,-1,-1,-1
323517,-1,-1,116.0,-1,-1,-1,-1,114.0,1.66,56.0,-1,-1,-1,-1,-1,-1,-1
323523,-1,-1,128.0,-1,-1,-1,-1,118.0,1.81,59.0,-1,-1,-1,-1,-1,-1,-1
323530,-1,-1,118.0,-1,-1,-1,-1,118.0,1.91,56.0,-1,-1,-1,-1,-1,-1,-1
323537,-1,-1,120.0,-1,-1,-1,-1,123.0,1.95,62.0,-1,-1,-1,-1,-1,-1,-1
323544,-1,-1,121.0,-1,-1,-1,-1,115.0,1.9,59.0,-1,-1,-1,-1,-1,-1,-1
323552,-1,-1,117.0,-1,-1,-1,-1,121.0,2.01,56.0,-1,-1,-1,-1,-1,-1,-1
323558,-1,-1,100.0,-1,-1,-1,-1,110.0,1.56,47.0,-1,-1,-1,-1,-1,-1,-1
323566,-1,-1,132.0,-1,-1,-1,-1,125.0,1.84,50.0,-1,-1,-1,-1,-1,-1,-1
323573,-1,-1,137.0,-1,-1,-1,-1,109.0,1.62,50.0,-1,-1,-1,-1,-1,-1,-1
323579,-1,-1,122.0,-1,-1,-1,-1,117.0,1.69,58.0,-1,-1,-1,-1,-1,-1,-1
323586,-1,-1,124.0,-1,-1,-1,-1,118.0,1.7,60.0,-1,-1,-1,-1,-1,-1,-1
323593,-1,-1,125.0,-1,-1,-1,-1,112.0,1.65,51.0,-1,-1,-1,-1,-1,-1,-1
323600,-1,-1,129.0,-1,-1,-1,-1,117.0,1.67,51.0,-1,-1,-1,-1,-1,-1,-1
329412,-1,-1,501.0,-1,-1,-1,-1,486.0,6.87,223.0,-1,-1,-1,-1,-1,-1,-1
329416,-1,-1,534.0,-1,-1,-1,-1,519.0,7.34,213.0,-1,-1,-1,-1,-1,-1,-1
329437,-1,-1,353.0,-1,-1,-1,-1,364.0,6.14,197.0,-1,-1,-1,-1,-1,-1,-1
329445,-1,-1,436.0,-1,-1,-1,-1,473.0,6.85,207.0,-1,-1,-1,-1,-1,-1,-1
329466,-1,-1,437.0,-1,-1,-1,-1,436.0,6.28,208.0,-1,-1,-1,-1,-1,-1,-1
329458,-1,-1,441.0,-1,-1,-1,-1,455.0,6.4,200.0,-1,-1,-1,-1,-1,-1,-1
329479,-1,-1,514.0,-1,-1,-1,-1,502.0,6.94,214.0,-1,-1,-1,-1,-1,-1,-1
329487,-1,-1,493.0,-1,-1,-1,-1,482.0,6.58,229.0,-1,-1,-1,-1,-1,-1,-1
412.0,10.38,2.0,54.0,-1,-1,-1,9.66,501.0,2.69,101.0,0.0,0.229,0.15,-1,0.0,-1,-1
388.0,5.52,1.0,234.0,-1,-1,-1,8.42,431.0,2.58,65.0,1.0,0.248,0.06,-1,0.0,-1,-1
468.0,19.33,12.0,203.0,-1,-1,-1,2.5,163.0,0.34,76.0,38.0,0.016,0.29,-1,0.0,-1,-1
421.0,11.62,2.0,50.0,-1,-1,-1,10.55,483.0,2.81,109.0,2.0,0.231,0.17,-1,0.0,-1,-1
436.0,12.75,5.0,194.0,-1,-1,-1,2.6,133.0,0.67,54.0,20.0,0.015,0.16,-1,0.0,-1,-1
538.0,28.85,18.0,63.0,-1,-1,-1,6.41,296.0,1.88,150.0,46.0,0.028,0.6,-1,0.0,-1,-1
157.0,4.49,101.0,665.0,-1,-1,-1,20.4,300.0,3.81,37.0,2.0,0.171,0.83,-1,0.0,-1,-1
239.0,11.2,110.0,600.0,-1,-1,-1,17.94,259.0,3.63,58.0,17.0,0.148,0.69,-1,0.2,-1,-1
209.0,1.51,169.0,940.0,-1,-1,-1,34.05,448.0,5.72,62.0,4.0,0.269,1.31,-1,0.0,-1,-1
290.0,0.1,-1,20.0,-1,-1,-1,1.5,304.0,1.61,8.0,5.0,-1,-1,-1,-1,-1,-1
96.0,0.3,0.0,3.0,-1,-1,-1,0.4,97.0,0.5,10.0,25.0,0.004,0.0,-1,-1,-1,-1
134.0,0.3,0.0,7.0,-1,-1,-1,0.4,146.0,0.2,12.0,38.0,0.009,0.0,-1,-1,-1,-1
399.0,3.47,20.0,130.0,-1,-1,-1,6.81,110.0,1.0,14.0,0.0,0.055,0.68,-1,-1,-1,-1
172.0,7.1,59.0,428.0,-1,-1,-1,17.48,174.0,1.12,16.0,7.0,0.227,0.35,-1,0.4,-1,-1
181.0,7.37,62.0,437.0,-1,-1,-1,18.3,189.0,1.47,18.0,7.0,0.261,0.37,-1,0.4,-1,-1
563.0,0.29,0.0,13.0,-1,-1,-1,0.99,59.0,3.55,460.0,6.0,0.087,0.0,-1,0.0,-1,-1
1427.0,0.69,0.0,14.0,-1,-1,-1,1.71,767.0,3.64,770.0,1.0,0.216,0.0,-1,0.0,-1,-1
286.0,0.15,0.0,14.0,-1,-1,-1,0.52,127.0,1.8,417.0,2.0,0.055,0.0,-1,0.0,-1,-1
1964.0,43.5,26.0,24.0,-1,-1,-1,9.0,206.0,0.2,-1,34.0,-1,-1,-1,-1,-1,-1
1479.0,31.8,10.0,21.0,-1,-1,-1,3.4,70.0,0.3,8.0,-1,0.01,-1,-1,-1,-1,-1
1079.0,18.6,89.0,95.0,-1,-1,-1,21.7,228.0,4.55,16.0,-1,0.23,4.83,-1,-1,-1,-1
436.0,23.64,126.0,588.0,-1,-1,-1,6.46,74.0,1.61,24.0,211.0,0.065,0.28,-1,1.0,-1,-1
123.0,0.0,0.0,4.0,-1,-1,-1,0.24,21.0,0.03,4.0,0.0,0.034,0.02,-1,0.0,-1,-1
181.0,0.0,0.0,4.0,-1,-1,-1,0.46,27.0,0.02,4.0,0.0,0.046,0.02,-1,0.0,-1,-1
1552.0,0.3,0.0,5.0,-1,-1,-1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-1,0.0,-1,-1
523.0,0.0,0.0,40.0,-1,-1,-1,0.0,11.0,0.01,0.0,0.0,0.003,0.0,-1,-1,-1,-1
777.0,0.06,0.0,5.0,-1,-1,-1,0.06,21.0,0.09,3.0,0.0,0.008,0.0,-1,-1,-1,-1
1234.0,0.0,0.0,1.0,-1,-1,-1,0.0,2.0,0.04,0.0,-1,0.001,0.0,-1,-1,-1,-1
967.0,0.0,0.0,1.0,-1,-1,-1,0.0,2.0,0.12,0.0,0.0,0.0,0.0,-1,0.0,-1,-1
1046.0,0.0,0.0,0.0,-1,-1,-1,0.0,1.0,0.02,0.0,0.0,0.0,0.0,-1,-1,-1,-1
1368.0,15.7,58.0,92.0,-1,-1,-1,2.8,32.0,0.13,16.0,173.0,0.011,0.08,-1,0.0,-1,-1
1406.0,0.3,0.0,8.0,-1,-1,-1,0.1,30.0,0.06,1.0,0.0,0.0,0.0,-1,0.0,-1,-1
284.0,0.0,0.0,5.0,-1,-1,-1,0.0,27.0,0.03,4.0,0.0,0.022,0.01,-1,0.0,-1,-1
992.0,7.6,0.0,71.0,-1,-1,-1,0.6,83.0,0.03,1.0,1.0,0.017,0.0,-1,-1,-1,-1
728.0,1.88,0.0,6.0,-1,-1,-1,0.42,71.0,0.21,8.0,0.0,0.045,0.0,-1,-1,-1,-1
561.0,0.0,0.0,2.0,-1,-1,-1,0.5,25.0,0.1,5.0,0.0,0.0,0.0,-1,0.0,-1,-1
460.0,0.1,0.0,57.0,-1,-1,-1,0.3,10.0,0.02,0.0,5.0,0.05,0.0,-1,-1,-1,-1
623.0,0.03,0.0,20.0,-1,-1,-1,0.0,5.0,0.08,1.0,-1,0.0,0.0,-1,-1,-1,-1
498.0,0.0,0.0,44.0,-1,-1,-1,0.0,11.0,0.01,0.0,1.0,0.0,0.0,-1,-1,-1,-1
638.0,0.06,0.0,61.0,-1,-1,-1,0.06,18.0,0.08,1.0,0.0,0.0,0.0,-1,-1,-1,-1
684.0,0.02,0.0,47.0,-1,-1,-1,0.1,4.0,0.08,46.0,0.0,0.0,0.0,-1,-1,-1,-1
209.0,0.0,0.0,626.0,-1,-1,-1,0.5,88.0,0.4,9.0,0.0,0.02,0.0,-1,0.0,-1,-1
638.0,0.0,0.0,9.0,-1,-1,-1,0.2,92.0,0.24,8.0,0.0,0.0,0.0,-1,-1,-1,-1
206.0,0.0,0.0,7.0,-1,-1,-1,0.07,88.0,0.4,9.0,0.0,0.02,0.0,-1,0.0,-1,-1
347.0,0.0,0.0,5.0,-1,-1,-1,0.07,99.0,0.37,8.0,0.0,0.054,0.0,-1,0.0,-1,-1
342.0,0.0,0.0,5.0,-1,-1,-1,0.07,71.0,0.27,9.0,0.0,0.05,0.0,-1,0.0,-1,-1
243.0,0.0,0.0,4.0,-1,-1,-1,0.9,62.0,0.03,8.0,0.0,0.09,0.02,-1,0.0,-1,-1
348.0,0.0,0.0,5.0,-1,-1,-1,0.36,59.0,0.2,10.0,0.0,0.037,0.01,-1,0.0,-1,-1
58.0,0.0,0.0,4.0,-1,-1,-1,0.9,62.0,0.03,8.0,0.0,0.09,0.02,-1,0.0,-1,-1
88.0,0.0,0.0,5.0,-1,-1,-1,0.0,24.0,0.03,4.0,0.0,0.019,0.01,-1,0.0,-1,-1
68.0,0.0,0.0,5.0,-1,-1,-1,0.0,27.0,0.03,4.0,0.0,0.022,0.01,-1,0.0,-1,-1
235.0,3.47,11.0,23.0,-1,-1,-1,1.05,55.0,0.05,35.0,31.0,0.016,0.06,-1,0.0,-1,-1
324299,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324301,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324159,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324161,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324215,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324218,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324217,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324216,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324180,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324179,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324255,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324253,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324178,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324181,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324160,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324162,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324256,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324254,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324298,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324300,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
96.0,0.69,0.0,6.0,-1,-1,-1,3.99,79.0,0.96,32.0,8.0,0.034,0.0,-1,0.0,-1,-1
23.0,0.69,0.0,6.0,-1,-1,-1,3.99,79.0,0.96,32.0,8.0,0.034,0.0,-1,0.0,-1,-1
447.0,45.81,131.0,406.0,-1,-1,-1,8.39,77.0,0.22,262.0,443.0,0.037,0.35,-1,1.0,-1,-1
259.0,4.9,0.0,258.0,-1,-1,-1,13.14,1020.0,17.6,389.0,522.0,12.0,18.8,-1,4.3,-1,-1
257.0,2.5,0.0,685.0,-1,-1,-1,8.9,811.0,15.0,63.0,500.0,6.67,20.0,-1,3.3,-1,-1
327.0,2.5,0.0,718.0,-1,-1,-1,10.2,518.0,62.1,39.0,776.0,6.9,21.0,-1,3.5,-1,-1
614.0,55.5,0.0,227.0,-1,-1,-1,20.96,748.0,3.49,347.0,0.0,0.103,0.0,-1,0.0,-1,-1
198.0,12.15,55.0,213.0,-1,-1,-1,17.91,295.0,0.78,32.0,29.0,0.446,0.16,-1,0.0,-1,-1
38.0,1.04,0.0,63.0,-1,-1,-1,0.42,50.0,0.3,188.0,63.0,0.003,0.0,-1,1.0,-1,-1
50.0,1.25,0.0,71.0,-1,-1,-1,0.63,75.0,0.53,188.0,63.0,0.006,0.0,-1,1.0,-1,-1
15.0,1.1,0.0,71.0,-1,-1,-1,0.59,67.0,0.35,197.0,43.0,0.015,0.0,-1,1.0,-1,-1
21.0,1.46,0.0,75.0,-1,-1,-1,0.83,96.0,0.45,188.0,62.0,0.015,0.0,-1,1.0,-1,-1
884.0,100.0,0.0,0.0,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1,-1
458.0,27.74,0.0,9.0,-1,-1,-1,9.0,314.0,1.6,172.0,0.0,0.036,0.0,-1,0.0,-1,-1
323127,59.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323128,-1,-1,187.0,-1,-1,-1,-1,646.0,3.25,286.0,-1,-1,-1,-1,-1,-1,-1
323134,59.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323136,-1,-1,179.0,-1,-1,-1,-1,696.0,3.4,261.0,-1,-1,-1,-1,-1,-1,-1
323142,59.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323144,-1,-1,333.0,-1,-1,-1,-1,676.0,3.19,285.0,-1,-1,-1,-1,-1,-1,-1
323152,59.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323155,-1,-1,314.0,-1,-1,-1,-1,698.0,3.07,265.0,-1,-1,-1,-1,-1,-1,-1
323156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323167,60.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323171,-1,-1,212.0,-1,-1,-1,-1,673.0,3.12,265.0,-1,-1,-1,-1,-1,-1,-1
323172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323186,53.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323188,-1,-1,548.0,-1,-1,-1,-1,744.0,2.98,288.0,-1,-1,-1,-1,-1,-1,-1
323195,59.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323198,-1,-1,160.0,-1,-1,-1,-1,686.0,3.19,276.0,-1,-1,-1,-1,-1,-1,-1
323199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
